Date,Away Team,Home Team,Away Team Lat,Away Team Long,Home Team Lat,Home Team Long,State
"Thursday, February 22, 2024",Los Angeles Dodgers,San Diego Padres,34.07387924,-118.2399521,32.70756912,-117.1570435,CA
"Friday, February 23, 2024",Arizona D'Backs,Colorado Rockies,33.44527054,-112.066803,39.75635147,-104.9941406,CO
"Friday, February 23, 2024",Chicago White Sox,Chicago Cubs,41.82984924,-87.63365173,41.94805908,-87.65564728,IL
"Friday, February 23, 2024",San Diego Padres,Los Angeles Dodgers,32.70756912,-117.1570435,34.07387924,-118.2399521,CA
"Friday, February 23, 2024",Kansas City Royals,Texas Rangers,39.05163956,-94.4804306,32.75122833,-97.08255005,TX
"Saturday, February 24, 2024",Colorado Rockies,Arizona D'Backs,39.75635147,-104.9941406,33.44527054,-112.066803,AZ
"Saturday, February 24, 2024",Boston Red Sox,Baltimore Orioles,42.34622192,-71.09770966,39.28395081,-76.62155914,MD
"Saturday, February 24, 2024",Cincinnati Reds,Cleveland Guardians,39.09720993,-84.5064621,41.49578857,-81.6852951,OH
"Saturday, February 24, 2024",New York Yankees,Detroit Tigers,40.82963181,-73.92623901,42.33927917,-83.04882813,MI
"Saturday, February 24, 2024",Atlanta Braves,Tampa Bay Rays,33.89060974,-84.46760559,27.76812553,-82.65345764,FL
"Saturday, February 24, 2024",Pittsburgh Pirates,Minnesota Twins,40.44704819,-80.00615692,44.98175049,-93.277771,MN
"Saturday, February 24, 2024",Miami Marlins,St. Louis Cardinals,25.77808952,-80.2195282,38.62258148,-90.19306183,MO
"Saturday, February 24, 2024",Philadelphia Phillies,Toronto Blue Jays,39.90618134,-75.16647339,43.64142227,-79.38941956,ON
"Saturday, February 24, 2024",St. Louis Cardinals,New York Mets,38.62258148,-90.19306183,40.75704193,-73.84588623,NY
"Saturday, February 24, 2024",Seattle Mariners,Chicago White Sox,47.59146881,-122.3323517,41.82984924,-87.63365173,IL
